"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","National College for School Leadership","Chief Executives Office","NCSL-1001","C2","33830","46584","Office Manager","1","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts2"
"Department for Education","National College for School Leadership","Chief Executives Office","NCSL-1001","E","19991","26507","PA","0.74","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts3"
"Department for Education","National College for School Leadership","Chief Executives Office","NCSL-1001","C2","33830","46584","Senior Advisor","1","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts4"
"Department for Education","National College for School Leadership","Children's Services","NCSL-1002","B","53308","73405","Head of Childrens Services","0.91","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts5"
"Department for Education","National College for School Leadership","Children's Services","NCSL-1002","E","19991","26507","PA","1","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts6"
"Department for Education","National College for School Leadership","Children's Services","NCSL-1002","D","26142","35997","Project / Programme Manager","2","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts7"
"Department for Education","National College for School Leadership","Children's Services","NCSL-1002","E","19991","26507","Senior Project / Programme Co-ordinator","1","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts8"
"Department for Education","National College for School Leadership","Business Services","NCSL-1004","B","53308","73405","Head of Change Management","1","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts9"
"Department for Education","National College for School Leadership","Business Services","NCSL-1016","Apprentice","9000","12000","Apprentice","1","Finance","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts10"
"Department for Education","National College for School Leadership","Business Services","NCSL-1016","D","26142","35997","Finance Analyst","4","Finance","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts11"
"Department for Education","National College for School Leadership","Business Services","NCSL-1016","F","15377","20390","Finance Assistant","2.61","Finance","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts12"
"Department for Education","National College for School Leadership","Business Services","NCSL-1016","D","26142","35997","Financial Accountant","1","Finance","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts13"
"Department for Education","National College for School Leadership","Business Services","NCSL-1016","C1","43056","59289","Financial Controller","1","Finance","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts14"
"Department for Education","National College for School Leadership","Business Services","NCSL-1016","E","19991","26507","PA","1","Operational delivery","/data/nationalcollege/2011-09-30/National-College-as-at-30-Sept-11.xls","juniorPosts15"
