"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Home Office","Private Office","1PO01","Grade 6","54705","67699","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts2"
"Home Office","Home Office","Private Office","1PO01","Grade 7","44656","55264","Private Secretary","9","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts3"
"Home Office","Home Office","Private Office","1PO01","SEO","32602","37964","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts4"
"Home Office","Home Office","Private Office","1PO01","SEO","32602","37964","Assistant Private Secretary","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts5"
"Home Office","Home Office","Private Office","1PO01","SEO","32602","37964","Business Support & Finance Manager","1","Other","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts6"
"Home Office","Home Office","Private Office","1PO01","HEO","25297","29757","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts7"
"Home Office","Home Office","Private Office","1PO01","HEO","25297","29757","Assistant Private Secretary","11","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts8"
"Home Office","Home Office","Private Office","1PO01","HEO-D","23802","33953","Private Secretary","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts9"
"Home Office","Home Office","Private Office","1PO01","HEO-D","23802","33953","Assistant Private Secretary","4","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts10"
"Home Office","Home Office","Private Office","1PO01","EO","20235","23802","Assistant Private Secretary","9","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts11"
"Home Office","Home Office","Private Office","1PO01","EO","20235","23802","Diary Manager","6","Other","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts12"
"Home Office","Home Office","Private Office","1PO01","EO","20235","23802","Communications Support","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts13"
"Home Office","Home Office","Private Office","1PO01","EO","20235","23802","Business Support Officers","2","Other","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts14"
"Home Office","Home Office","Private Office","1PO01","AO","15386","17377","Diary Manager","2","Other","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts15"
"Home Office","Home Office","Private Office","1PO01","AO","15386","17377","Correspondence Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts16"
"Home Office","Home Office","Private Office","1PO01","AO","15386","17377","Administrative Support","7","Other","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts17"
"Home Office","Home Office","Private Office","1PO01","PS","16023","18098","Personal Assistant","1","Other","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts18"
"Home Office","Home Office","Communication Directorate","2COM01","Grade 6","54705","67699","Head of Direct Communications Unit","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts19"
"Home Office","Home Office","Communication Directorate","2COM01","Grade 7","44656","55264","Senior Correspondence Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts20"
"Home Office","Home Office","Communication Directorate","2COM01","Grade 7","44656","55264","Not in post","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts21"
"Home Office","Home Office","Communication Directorate","2COM01","SEO","32602","37964","Correspondence Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts22"
"Home Office","Home Office","Communication Directorate","2COM01","HEO","25297","29757","Communications Manager","0.8","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts23"
"Home Office","Home Office","Communication Directorate","2COM01","HEO","25297","29757","Correspondence Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts24"
"Home Office","Home Office","Communication Directorate","2COM01","HEO","25297","29757","Drafting Officer Manager","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts25"
"Home Office","Home Office","Communication Directorate","2COM01","HEO","25297","29757","Management Information Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts26"
"Home Office","Home Office","Communication Directorate","2COM01","SPS","20753","24662","Personal Secretary","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts27"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Correspondence Manager","6.6","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts28"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Drafting Officer","11.4","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts29"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Technical Support Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts30"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Management Information Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts31"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Communications Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts32"
"Home Office","Home Office","Communication Directorate","2COM01","AO","15386","17377","Correspondence Officer","9.66","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts33"
"Home Office","Home Office","Communication Directorate","2COM01","Grade 7","44656","55264","Head of Business Support Team","1","Finance","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts34"
"Home Office","Home Office","Communication Directorate","2COM01","SEO","32602","37964","Deputy Head of Business Support Team","1","Human resources","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts35"
"Home Office","Home Office","Communication Directorate","2COM01","HEO","25297","29757","Finance Support Officer","1","Finance","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts36"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Finance Support Officer","2","Finance","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts37"
"Home Office","Home Office","Communication Directorate","2COM01","EO","20235","23802","Business Support Officer","1","Human resources","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts38"
"Home Office","Home Office","Communication Directorate","2COM01","HEO","25297","29757","Personal Secretary","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts39"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Grade 6","54705","67699","Senior Communications Manager","1.71","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts40"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Grade 7","44656","55264","Senior Communications Manager","3.8","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts41"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Grade 7","44656","55264","Not in post","3","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts42"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Grade 7","44656","55264","Senior Communications Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts43"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Senior Information Officer","36452","42447","Communications Manager","8","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts44"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Information Officer","28573","33272","Communications Officer","7","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts45"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","Information Officer","28573","33272","Not in post","0.8","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts46"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","HEO","25297","29757","Communications Officer","0.83","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts47"
"Home Office","Home Office","Strategic Communications, Marketing and Insight","1COM03","AO","15386","17377","Communications support officer","1.28","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts48"
"Home Office","Home Office","News","1COM04","Grade 6","54705","67699","Deputy Head of News","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts49"
"Home Office","Home Office","News","1COM04","Grade 7","44656","55264","Senior Press Officer","4","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts50"
"Home Office","Home Office","News","1COM04","Grade 7","44656","55264","Senior Press Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts51"
"Home Office","Home Office","News","1COM04","Senior Information Officer","36452","42447","Press Officer","4.89","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts52"
"Home Office","Home Office","News","1COM04","Senior Information Officer","36452","42447","Press Officer","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts53"
"Home Office","Home Office","News","1COM04","Senior Information Officer","36452","42447","Press Officer","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts54"
"Home Office","Home Office","News","1COM04","Information Officer","28573","33272","Press Officer","18","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts55"
"Home Office","Home Office","News","1COM04","Information Officer","28573","33272","Press Officer","4","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts56"
"Home Office","Home Office","News","1COM04","Information Officer","28573","33272","Press Officer","6","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts57"
"Home Office","Home Office","News","1COM04","EO","20235","23802","Administrative Support Staff","1.8","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts58"
"Home Office","Home Office","News","1COM04","Assistant Information Officer","24538","28573","Administrative Support Staff","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts59"
"Home Office","Home Office","News","1COM04","AO","15386","17377","Administrative Support Staff","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts60"
"Home Office","Home Office","News","1COM04","HEO-D","23802","33953","Press Officer","0.8","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts61"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Grade 6","54705","67699","Senior Communications Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts62"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Grade 7","44656","55264","Senior Communications Manager","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts63"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Senior Information Officer","36452","42447","Communications Manager","3","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts64"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Senior Librarian","36452","42447","Communications Manager","0.86","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts65"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Librarian","28573","33272","Communications Manager","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts66"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Information Officer","28573","33272","Communications Officer","2.4","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts67"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Information Officer","28573","33272","Not in post","1.6","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts68"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Information Officer","28573","33272","Technical Support Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts69"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Information Officer","28573","33272","Communications Officer","3","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts70"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","EO","20235","23802","Communications support officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts71"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Grade 6","54705","67699","Senior Communications Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts72"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Grade 7","44656","55264","Senior Communications Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts73"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Grade 7","44656","55264","Senior Communications Manager","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts74"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Senior Information Officer","36452","42447","Communications Manager","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts75"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Information Officer","28573","33272","Communications Officer","5","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts76"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Information Officer","28573","33272","Communications Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts77"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","EO","20235","23802","Communications Officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts78"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","Assistant Information Officer","24538","28573","Communications support officer","1","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts79"
"Home Office","Home Office","Digital, Events and Staff Communications","1COM05","AO","15386","17377","Communications support officer","2","Communications","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts80"
"Home Office","Home Office","Crime and Policing Group Director General's Office","3CPG01","SEO","32602","37964","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts81"
"Home Office","Home Office","Crime and Policing Group Director General's Office","3CPG01","HEO","25297","29757","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts82"
"Home Office","Home Office","Crime and Policing Group Director General's Office","3CPG01","EO","20235","23802","Diary Manager","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts83"
"Home Office","Home Office","Crime Director's Office","2CPG05","EO","20235","23802","Policy Support Officer","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts84"
"Home Office","Home Office","Crime and ASB Reduction Unit","2CPG05","Grade 6","54705","67699","Policy Adviser","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts85"
"Home Office","Home Office","Crime and ASB Reduction Unit","2CPG05","Grade 7","44656","55264","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts86"
"Home Office","Home Office","Crime and ASB Reduction Unit","2CPG05","SEO","32602","37964","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts87"
"Home Office","Home Office","Crime and ASB Reduction Unit","2CPG05","EO","20235","23802","Policy Support Officer","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts88"
"Home Office","Home Office","Crime and ASB Reduction Unit","2CPG05","AO","15386","17377","Policy Support Officer","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts89"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","Grade 6","54705","67699","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts90"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","Grade 7","44656","55264","Policy Adviser","5","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts91"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","SEO","32602","37964","Policy Adviser","6.6","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts92"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","HEO","25297","29757","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts93"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","HEO-D","23802","33953","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts94"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","EO","20235","23802","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts95"
"Home Office","Home Office","Organised and Financial Crime","1CPG01","AO","15386","17377","Policy Adviser","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts96"
"Home Office","Home Office","Strategic Centre for Organised Crime","1CPG27","Grade 6","54705","67699","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts97"
"Home Office","Home Office","Strategic Centre for Organised Crime","1CPG27","Grade 7","44656","55264","Policy Adviser","5","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts98"
"Home Office","Home Office","Strategic Centre for Organised Crime","1CPG27","SEO","32602","37964","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts99"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","Grade 6","54705","67699","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts100"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","Grade 7","44656","55264","Policy Adviser","8","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts101"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","SEO","32602","37964","Policy Adviser","5","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts102"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","HEO","25297","29757","Policy Adviser","9","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts103"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","HEO-D","23802","33953","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts104"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","EO","20235","23802","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts105"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","EO","20235","23802","Policy Support Officer","0.6","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts106"
"Home Office","Home Office","Violent and Youth Crime Prevention Unit","1CPG15","AO","15386","17377","Policy Support Officer","0.6","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts107"
"Home Office","Home Office","Drugs,Alcohol and Community Director's Office","2CPG01","Grade 7","44656","55264","Chief of Staff","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts108"
"Home Office","Home Office","Drugs,Alcohol and Community Director's Office","2CPG01","EO","20235","23802","Diary Manager","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts109"
"Home Office","Home Office","Community Safety","1CPG10","Grade 6","54705","67699","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts110"
"Home Office","Home Office","Community Safety","1CPG10","Grade 7","44656","55264","Policy Adviser","11","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts111"
"Home Office","Home Office","Community Safety","1CPG10","SEO","32602","37964","Policy Adviser","6.2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts112"
"Home Office","Home Office","Community Safety","1CPG10","HEO","25297","29757","Policy Adviser","5","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts113"
"Home Office","Home Office","Community Safety","1CPG10","HEO-D","23802","33953","Policy Adviser","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts114"
"Home Office","Home Office","Community Safety","1CPG10","EO","20235","23802","Policy Support Officer","4","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts115"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","Grade 6","54705","67699","Policy Adviser","2.89","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts116"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","Grade 7","44656","55264","Policy Adviser","8.2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts117"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","SEO","32602","37964","Policy Adviser","11","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts118"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","HEO","25297","29757","Policy Adviser","11","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts119"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","HEO-D","23802","33953","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts120"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","EO","20235","23802","Policy Adviser","5.29","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts121"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","EO","20235","23802","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts122"
"Home Office","Home Office","Drugs and Alcohol Unit","1CPG12","AO","15386","17377","Policy Support Officer","7","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts123"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","Grade 6","54705","67699","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts124"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","Grade 7","44656","55264","Policy Adviser","6","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts125"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","SEO","32602","37964","Policy Adviser","5","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts126"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","HEO","25297","29757","Policy Adviser","3.83","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts127"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","HEO-D","23802","33953","Policy Adviser","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts128"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","EO","20235","23802","Policy Support Officer","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts129"
"Home Office","Home Office","Reducing Reoffending Unit","1CPG13","AO","15386","17377","Policy Support Officer","1.9","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts130"
"Home Office","Home Office","Policing Director's Office","2CPG04","HEO","25297","29757","Private Secretary","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts131"
"Home Office","Home Office","Police Reform","1CPG08","Grade 6","54705","67699","Policy Adviser","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts132"
"Home Office","Home Office","Police Reform","1CPG08","Grade 7","44656","55264","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts133"
"Home Office","Home Office","Police Reform","1CPG08","SEO","32602","37964","Policy Adviser","3","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts134"
"Home Office","Home Office","Police Reform","1CPG08","HEO","25297","29757","Policy Adviser","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts135"
"Home Office","Home Office","Police Reform","1CPG08","HEO-D","23802","33953","Policy Adviser","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts136"
"Home Office","Home Office","Police Reform","1CPG08","EO","20235","23802","Policy Support Officer","2","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts137"
"Home Office","Home Office","Police Reform","1CPG08","AO","15386","17377","Diary Manager","1","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts138"
"Home Office","Home Office","Police Productivity","1CPG20","Grade 6","54705","67699","Policy Adviser","3.8","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts139"
"Home Office","Home Office","Police Productivity","1CPG20","Grade 7","44656","55264","Policy Adviser","10","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts140"
"Home Office","Home Office","Police Productivity","1CPG20","SEO","32602","37964","Policy Adviser","6","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts141"
"Home Office","Home Office","Police Productivity","1CPG20","HEO","25297","29757","Policy Adviser","4","Policy","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","juniorPosts142"
